accession	gtdb_taxonomy
GB_GCA_946408075.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2834;s__UBA2834 sp946408075
GB_GCA_017404955.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp017404955
GB_GCA_044227985.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__JAGPDM01;g__CAZUNB01;s__CAZUNB01 sp044227985
GB_GCA_030855355.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__SZUA-47;g__JALYRK01;s__JALYRK01 sp030855355
GB_GCA_046350755.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__CAILAD01;f__GCA-016700035;g__CAZDEK01;s__CAZDEK01 sp046350755
GB_GCA_946646285.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2834;s__UBA2834 sp002363515
GB_GCA_016432585.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__G016432585;s__G016432585 sp016432585
GB_GCA_045589895.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp045589895
GB_GCA_945916045.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__CAMEGH01;s__CAMEGH01 sp945916045
GB_GCA_964510945.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__JAGQNJ01;g__DAISWO01;s__DAISWO01 sp964510945
GB_GCA_038319685.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA6022;s__UBA6022 sp038319685
GB_GCA_964552765.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__JAPUDQ01;s__JAPUDQ01 sp964552765
GB_GCA_964469975.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__JANWIN01;g__CAYYAF01;s__CAYYAF01 sp964469975
GB_GCA_964561295.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp964561295
GB_GCA_035399865.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1547;s__UBA1547 sp035399865
GB_GCA_045545815.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp045545815
GB_GCA_964596695.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2112;s__UBA2112 sp964596695
GB_GCA_035247945.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__DATFHX01;s__DATFHX01 sp035247945
GB_GCA_964522475.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp964522475
GB_GCA_049660905.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__JBASZN01;s__JBASZN01 sp049660905
GB_GCA_014377695.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__JACMPA01;s__JACMPA01 sp014377695
GB_GCA_963456295.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanoperiomorbus;s__Nanoperiomorbus sp963456295
GB_GCA_938017675.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__Saccharimonas sp938017675
GB_GCA_029288275.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__UBA4664;f__UBA4664;g__JARIHM01;s__JARIHM01 sp029288275
GB_GCA_964583075.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__JAGQNJ01;g__HK-STAS-PATE-36;s__HK-STAS-PATE-36 sp964583075
GB_GCA_946414345.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp946414345
GB_GCA_937863095.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosynbacter;s__Nanosynbacter sp937863095
GB_GCA_964531915.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1547;s__UBA1547 sp964531915
GB_GCA_050730875.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__EFPC-124;g__JBOHNX01;s__JBOHNX01 sp050730875
GB_GCA_035510455.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__DATKGL01;s__DATKGL01 sp035510455
GB_GCA_963456285.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosynbacter;s__Nanosynbacter sp963456285
GB_GCA_002421965.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosynbacter;s__Nanosynbacter sp002421965
GB_GCA_900557595.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosynbacter;s__Nanosynbacter sp900557595
GB_GCA_052103595.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__CAMEGH01;s__CAMEGH01 sp052103595
GB_GCA_964292495.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__CAXYVX01;s__CAXYVX01 sp964292495
GB_GCA_963546435.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosynbacter;s__Nanosynbacter sp963546435
GB_GCA_964519575.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__JAGPDM01;g__CAZFKV01;s__CAZFKV01 sp964519575
GB_GCA_947428935.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp947428935
GB_GCA_038199095.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__JBBPZG01;s__JBBPZG01 sp038199095
GB_GCA_963515225.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosynbacter;s__Nanosynbacter sp963515225
GB_GCA_938036845.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__Saccharimonas sp938036845
GB_GCA_964436255.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__CAILAD01;f__JADZBC01;g__CAYPSN01;s__CAYPSN01 sp964436255
GB_GCA_946537195.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2834;s__UBA2834 sp946537195
GB_GCA_017512175.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp017512175
GB_GCA_963508115.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosynbacter;s__Nanosynbacter sp963508115
GB_GCA_964558365.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__CAZLCC01;s__CAZLCC01 sp964558365
GB_GCA_049660945.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__Saccharimonas sp049660945
GB_GCA_038316995.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__JAXHNE01;g__JAXHNE01;s__JAXHNE01 sp038316995
GB_GCA_041751215.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__JBGSXW01;g__JBGSXW01;s__JBGSXW01 sp041751215
GB_GCA_031255735.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__JAIROX01;s__JAIROX01 sp031255735
GB_GCA_938017645.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanoperiomorbus;s__Nanoperiomorbus sp938017645
GB_GCA_964643895.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA7683;g__UBA7683;s__UBA7683 sp964643895
GB_GCA_017511645.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp017511645
GB_GCA_963519835.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__Saccharimonas sp963519835
GB_GCA_905373835.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__Saccharimonas sp905373835
GB_GCA_038326785.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__JBBQKK01;g__JBBQKK01;s__JBBQKK01 sp038326785
GB_GCA_038248455.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1547;s__UBA1547 sp038248455
GB_GCA_017512085.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp017512085
GB_GCA_964424985.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA7683;g__CAYRKQ01;s__CAYRKQ01 sp964424985
GB_GCA_963547505.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanoperiomorbus;s__Nanoperiomorbus sp963547505
GB_GCA_964410185.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__JAUPVS01;g__JAUPVS01;s__JAUPVS01 sp964410185
GB_GCA_037139575.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__CAIYEO01;s__CAIYEO01 sp037139575
GB_GCA_043767845.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__UBA4664;f__JBBRNT01;g__JAYUFZ01;s__JAYUFZ01 sp043767845
GB_GCA_017510925.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp017510925
GB_GCA_964639445.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA10212;g__2-01-FULL-49-22;s__2-01-FULL-49-22 sp964639445
GB_GCA_030527565.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp030527565
GB_GCA_964446255.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__JAGXIT01;s__JAGXIT01 sp964446255
GB_GCA_903880655.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__CAIOMD01;g__CAIOMD01;s__CAIOMD01 sp903880655
GB_GCA_027450165.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__DAIDJW01;s__DAIDJW01 sp027450165
GB_GCA_964397215.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp964397215
GB_GCA_905372095.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__Saccharimonas sp905372095
GB_GCA_017431955.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp017431955
GB_GCA_037132395.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__CAILAD01;f__BJGX01;g__SICB01;s__SICB01 sp037132395
GB_GCA_027492635.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Mycosynbacter;s__Mycosynbacter sp027492635
GB_GCA_021783725.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__JAJXTN01;s__JAJXTN01 sp021783725
GB_GCA_964514875.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp964514875
GB_GCA_017511925.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp017511925
GB_GCA_964396015.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp964396015
GB_GCA_937927165.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanoperiomorbus;s__Nanoperiomorbus sp937927165
GB_GCA_964582465.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__UBA4664;f__CAZOQX01;g__CAZOQX01;s__CAZOQX01 sp964582465
GB_GCA_030528815.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2834;s__UBA2834 sp030528815
GB_GCA_964400855.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__SZUA-47;g__JAGQMY01;s__JAGQMY01 sp964400855
GB_GCA_038257245.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__JACQNP01;g__JAGQNP01;s__JAGQNP01 sp038257245
RS_GCF_041006295.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosynbacter;s__Nanosynbacter sp041006295
GB_GCA_017652105.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp017652105
GB_GCA_038231155.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__JANWIN01;g__JBBRLY01;s__JBBRLY01 sp038231155
GB_GCA_938017725.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanoperiomorbus;s__Nanoperiomorbus sp938017725
GB_GCA_963701245.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__CAWCCP01;s__CAWCCP01 sp963701245
GB_GCA_038251205.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__CAILAD01;f__JBBSBN01;g__JBBSBN01;s__JBBSBN01 sp038251205
GB_GCA_015257505.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp015257505
GB_GCA_017514905.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp017514905
GB_GCA_039738635.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__CAILAD01;f__BJGX01;g__JBCLLP01;s__JBCLLP01 sp039738635
GB_GCA_049291395.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__JAPUDQ01;s__JAPUDQ01 sp049291395
GB_GCA_035536395.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__UBA4664;f__DATLOE01;g__DATLOE01;s__DATLOE01 sp035536395
GB_GCA_002427805.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1547;s__UBA1547 sp002427805
GB_GCA_963797185.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__CAWCON01;s__CAWCON01 sp963797185
GB_GCA_017519305.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp017519305
GB_GCA_002726935.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Microsaccharimonas;s__Microsaccharimonas sp002726935
GB_GCA_017941835.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp017941835
GB_GCA_030156575.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1547;s__UBA1547 sp030156575
GB_GCA_964644965.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__JACDBH01;g__CAZXYN01;s__CAZXYN01 sp964644965
GB_GCA_038064875.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__2-12-FULL-41-12;g__2-12-FULL-41-12;s__2-12-FULL-41-12 sp038064875
GB_GCA_045637565.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp045637565
GB_GCA_964520495.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1020;s__UBA1020 sp964520495
GB_GCA_964425975.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__JAGXIT01;s__JAGXIT01 sp964425975
GB_GCA_938039175.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanoperiomorbus;s__Nanoperiomorbus sp938039175
GB_GCA_032154105.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA6022;s__UBA6022 sp032154105
GB_GCA_021806285.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__JAJZMH01;s__JAJZMH01 sp021806285
GB_GCA_031257295.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__JAIROX01;s__JAIROX01 sp031257295
GB_GCA_937990685.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanoperiomorbus;s__Nanoperiomorbus sp937990685
GB_GCA_965241395.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanoperiomorbus;s__Nanoperiomorbus sp965241395
GB_GCA_050730895.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Microsaccharimonas;s__Microsaccharimonas sp050730895
GB_GCA_030917805.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__HK-STAS-PATE-42;g__HK-STAS-PATE-42;s__HK-STAS-PATE-42 sp030917805
GB_GCA_035758565.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA10212;g__DASTXL01;s__DASTXL01 sp035758565
GB_GCA_017480095.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp017480095
GB_GCA_964550035.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__EFPC-124;g__CAZJVU01;s__CAZJVU01 sp964550035
GB_GCA_964494765.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__CAMLQK01;s__CAMLQK01 sp964494765
GB_GCA_035510315.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__DATKHC01;g__JAJXXC01;s__JAJXXC01 sp035510315
GB_GCA_964393455.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__AWTP1-31;g__CAYJDY01;s__CAYJDY01 sp964393455
GB_GCA_964536485.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__SZUA-47;g__JAGQMY01;s__JAGQMY01 sp964536485
GB_GCA_964493895.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__JAGQNJ01;g__CAYRSA01;s__CAYRSA01 sp964493895
GB_GCA_963518125.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosynbacter;s__Nanosynbacter sp963518125
GB_GCA_963549225.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosynbacter;s__Nanosynbacter sp963549225
GB_GCA_937921475.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosynbacter;s__Nanosynbacter sp937921475
GB_GCA_964391615.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__CAYLGT01;s__CAYLGT01 sp964391615
GB_GCA_018064165.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__JAGOZV01;s__JAGOZV01 sp018064165
GB_GCA_027314885.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__JAJZAF01;s__JAJZAF01 sp027314885
GB_GCA_015257635.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosynbacter;s__Nanosynbacter sp015257635
GB_GCA_963519005.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__Saccharimonas sp963519005
GB_GCA_050011495.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__DATKGQ01;s__DATKGQ01 sp050011495
RS_GCF_030253535.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__Saccharimonas epibionticum
GB_GCA_036848695.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA7683;g__JACKGS01;s__JACKGS01 sp036848695
GB_GCA_964553355.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__AWTP1-31;g__CAZKKJ01;s__CAZKKJ01 sp964553355
GB_GCA_028288995.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Microsaccharimonas;s__Microsaccharimonas sp028288995
GB_GCA_036745415.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__CAILQE01;s__CAILQE01 sp036745415
GB_GCA_938036625.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__Saccharimonas sp938036625
GB_GCA_938030585.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp938030585
GB_GCA_963835055.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__CAWIDU01;s__CAWIDU01 sp963835055
GB_GCA_964421475.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__JAGQNJ01;g__CAYQXB01;s__CAYQXB01 sp964421475
GB_GCA_938018015.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanoperiomorbus;s__Nanoperiomorbus sp938018015
GB_GCA_963529085.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanogingivalis;s__Nanogingivalis sp963529085
GB_GCA_963539465.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp963539465
GB_GCA_039935755.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__JBDTJP01;g__JBDTJP01;s__JBDTJP01 sp039935755
GB_GCA_948944455.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp948944455
GB_GCA_964409615.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__AWTP1-31;g__AWTP1-31;s__AWTP1-31 sp964409615
GB_GCA_035700225.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__2-12-FULL-41-12;g__JANWLD01;s__JANWLD01 sp035700225
GB_GCA_030527585.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosyncoccus;s__Nanosyncoccus sp030527585
GB_GCA_010027485.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__RGVC01;s__RGVC01 sp010027485
GB_GCA_025451045.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__2-12-FULL-41-12;g__JANWLD01;s__JANWLD01 sp025451045
GB_GCA_963536065.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanosynbacter;s__Nanosynbacter sp963536065
GB_GCA_944391325.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Nanoperiomorbus;s__Nanoperiomorbus sp944391325
GB_GCA_903970425.1	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__CAJCIR01;s__CAJCIR01 sp903970425
